City,Country,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed
puerto asis,CO,0.51,-76.5,70.77,95,100,2.35
manchar,IN,19,73.93,71.6,92,100,8.86
altay,CN,47.87,88.12,71.92,38,0,4.63
richards bay,ZA,-28.78,32.04,54.34,72,15,5.66
vostok,RU,46.49,135.88,73.02,65,99,2.98
juneau,US,58.3,-134.42,60.8,77,90,3.36
acapulco,MX,16.86,-99.89,87.8,74,75,3.36
pirgos,GR,35.12,25.72,78.01,31,0,14
comodoro rivadavia,AR,-45.87,-67.5,37.4,74,75,3.36
qafsah,NA,NA,NA,NA,NA,NA,NA
natal,BR,-5.79,-35.21,75.2,94,40,4.7
jian,CN,27.12,114.98,86.7,72,100,5.75
pokhara,NP,28.23,83.98,72.91,86,99,1.16
haibowan,NA,NA,NA,NA,NA,NA,NA
chino valley,US,34.76,-112.45,93.99,16,1,10.29
isangel,VU,-19.55,169.27,78.8,83,20,4.7
velsk,RU,61.07,42.1,55.92,91,100,7
san quintin,MX,30.48,-115.95,70.72,72,0,17.56
ubinskoye,RU,55.31,79.68,62.89,76,33,1.88
karratha,AU,-20.74,116.85,71.06,28,0,16.82
lipin bor,RU,60.26,37.98,55.44,96,100,11.79
nome,US,64.5,-165.41,51.8,81,90,8.05
qasigiannguit,GL,68.82,-51.19,46.4,70,96,3.36
tartagal,AR,-22.52,-63.8,53.58,72,0,0.56
vestmanna,FO,62.16,-7.17,51.8,100,100,9.17
opotiki,NZ,-38.08,177.28,50,89,100,4
wladyslawowo,PL,54.79,18.4,61,100,92,5.82
bilibino,RU,68.05,166.44,49.75,87,100,2.8
yanan,NA,NA,NA,NA,NA,NA,NA
turinsk,RU,58.05,63.7,71.35,84,81,7.63
galveston,US,29.37,-94.97,88,70,1,17.22
pitsunda,GE,43.16,40.34,68,82,0,2.24
olafsvik,IS,64.89,-23.71,50.56,91,100,20.71
paragominas,BR,-2.97,-47.48,75.78,73,34,4.52
vanimo,PG,-2.67,141.3,85.93,63,13,5.5
levelland,US,33.59,-102.38,100.99,21,20,12.75
kondinskoye,RU,59.65,67.41,74.77,78,46,8.95
lata,PT,40.16,-8.33,73.99,73,0,3.62
izhma,RU,65.01,53.91,50.79,69,100,8.08
santiago,CL,-33.46,-70.65,51.8,81,0,10.29
tigil,RU,57.8,158.67,54.95,95,100,7.56
ponta delgada,PT,37.73,-25.67,68,68,75,10.29
collie,AU,-33.37,116.15,60.01,95,100,9.8
dickinson,US,29.46,-95.05,89.6,62,40,14.99
victor harbor,AU,-35.57,138.62,55.99,92,70,1.01
sistranda,NO,63.73,8.83,55.4,93,75,2.24
egvekinot,RU,66.32,-179.17,53.28,78,75,6.51
ponte de sor,PT,39.25,-8.01,77,58,0,7.99
cherskiy,RU,68.75,161.3,49.23,55,100,4.9
atar,MR,20.52,-13.05,91.56,20,0,7.16
sunrise manor,US,36.21,-115.07,107.6,9,1,6.93
aqtobe,KZ,50.28,57.21,76.68,40,0,7.92
doka,SD,13.52,35.77,71.64,85,100,11.45
mercedes,AR,-34.65,-59.43,46,59,100,8.79
nileshwar,IN,12.25,75.1,75.2,94,75,3.36
ambulu,ID,-8.35,113.61,77.97,77,1,3.85
cabo rojo,PR,18.09,-67.15,79,94,2,1.01
porto murtinho,BR,-21.7,-57.88,74.25,63,8,2.8
tezu,IN,27.92,96.17,77.09,85,100,0.78
dakar,SN,14.69,-17.44,78.8,78,20,5.14
aljezur,PT,37.32,-8.8,79,63,0,1.21
bolungarvik,NA,NA,NA,NA,NA,NA,NA
komsomolskiy,UZ,40.43,71.72,77,36,100,6.93
hailar,CN,49.2,119.7,77.36,62,100,6.64
cam ranh,VN,11.92,109.16,87.8,70,20,9.17
seoul,KR,37.57,126.98,77,61,1,2.55
khani,GE,41.96,42.96,71.6,94,75,2.24
fortuna,US,40.6,-124.16,62.6,72,1,12.75
rocha,UY,-34.48,-54.33,38.89,80,0,4.83
dunedin,NZ,-45.87,170.5,46,67,9,15.01
luanda,AO,-8.84,13.23,69.8,94,40,1.12
pointe michel,DM,15.25,-61.38,79.97,78,0,10.38
khonuu,NA,NA,NA,NA,NA,NA,NA
sao felix do xingu,BR,-6.64,-51.99,74.86,54,18,2.3
marawi,PH,8,124.29,82,74,13,1.86
bossembele,NA,NA,NA,NA,NA,NA,NA
mananara,MG,-16.17,49.77,66.78,90,43,4.74
ola,RU,59.58,151.28,59.95,81,73,4.76
cazaje,NA,NA,NA,NA,NA,NA,NA
vega de alatorre,MX,20.03,-96.63,82.92,79,83,12.97
gouyave,GD,12.16,-61.73,82.4,83,20,12.75
sawakin,SD,19.11,37.33,84.63,39,0,4.03
mahanoro,MG,-19.9,48.8,66.51,89,100,8.7
aflu,NA,NA,NA,NA,NA,NA,NA
skalistyy,NA,NA,NA,NA,NA,NA,NA
coromandel,BR,-18.47,-47.2,67.05,49,33,2.71
erdenet,MN,49.03,104.08,50.34,80,100,12.8
tulun,RU,54.56,100.58,54.43,65,84,9.78
yumen,CN,40.28,97.2,75.25,19,1,7.94
husavik,IS,66.04,-17.34,55.4,71,75,9.17
arman,RU,59.7,150.17,63.34,67,31,5.01
yanam,IN,16.73,82.22,76.5,91,99,5.73
samana,DO,19.21,-69.34,78.1,85,42,7.47
labutta,NA,NA,NA,NA,NA,NA,NA
qaqortoq,GL,60.72,-46.03,51.8,66,4,4.7
asau,RO,46.43,26.4,60.01,82,100,4.27
balykshi,NA,NA,NA,NA,NA,NA,NA
san patricio,MX,19.22,-104.7,86,74,75,23.04
cascais,PT,38.7,-9.42,82.99,32,0,3
saint-augustin,CA,51.23,-58.65,52,74,0,4.76
buckeye,US,33.37,-112.58,109.4,12,0,8.05
turka,UA,49.15,23.03,55.99,86,100,5.99
holme,DK,56.11,10.17,51.8,100,0,2.24
zhob,PK,31.34,69.45,81.59,41,0,2.64
tres lagoas,BR,-20.75,-51.68,75.76,54,79,9.15
batemans bay,AU,-35.72,150.18,57,73,74,3
mackay,AU,-21.15,149.2,66,42,0,13.87
mattru,SL,7.62,-11.83,72.09,92,98,4.32
biskamzha,RU,53.45,89.53,58.32,58,88,2.91
mlandizi,TZ,-6.7,38.73,73.4,88,20,9.17
dingle,PH,11,122.67,80.67,84,99,6.51
guanare,VE,9.04,-69.74,74.59,91,100,2.62
zalantun,CN,48,122.72,88.02,38,56,4.94
fukue,JP,32.69,128.84,71.6,88,75,5.82
portland,US,45.52,-122.68,88,33,1,12.75
inhambane,MZ,-23.86,35.38,62.53,72,21,12.75
kalisz,PL,51.76,18.09,62.01,80,96,4
tucurui,BR,-3.77,-49.67,81.72,60,85,2.3
sines,PT,37.96,-8.87,66.99,86,0,5.01
ahipara,NZ,-35.17,173.17,63.14,84,100,8.12
cap malheureux,MU,-19.98,57.61,66.99,86,1,5.01
abu dhabi,AE,24.47,54.37,93.2,75,0,8.05
grand centre,NA,NA,NA,NA,NA,NA,NA
rolim de moura,NA,NA,NA,NA,NA,NA,NA
bhojudih,IN,23.63,86.45,81.07,82,94,5.57
chapleau,CA,47.84,-83.4,69.8,60,90,4.7
passira,BR,-8,-35.58,68.13,91,0,7.72
elizabeth city,US,36.29,-76.25,79,70,16,6.13
mount gambier,AU,-37.83,140.77,42.8,100,40,8.05
alofi,NU,-19.06,-169.92,78.8,65,75,13.87
nemuro,JP,43.32,145.57,53.6,93,75,3.36
chagda,NA,NA,NA,NA,NA,NA,NA
sorvag,NA,NA,NA,NA,NA,NA,NA
minab,IR,27.15,57.08,89.6,75,0,9.17
mount pleasant,US,32.79,-79.86,86,83,40,4.7
saint anthony,US,45.02,-93.22,81,26,1,8.05
dalen,NL,52.7,6.76,57,92,92,1.01
pangnirtung,CA,66.15,-65.71,59.81,36,94,2.51
bongandanga,CD,1.5,21.05,70.12,96,100,1.77
taksimo,RU,56.34,114.88,80.2,49,19,4.34
moose factory,CA,51.26,-80.61,78.8,54,1,9.17
martapura,ID,-3.42,114.85,75.2,100,99,3.36
fairfield,US,41.27,-73.32,72,73,1,6.93
ketchikan,US,55.34,-131.65,57.2,100,90,17.22
bandarbeyla,SO,9.49,50.81,82.36,60,1,27.58
bowen,AU,-20.02,148.23,69.01,48,0,10.29
tabas,IR,33.6,56.92,86,25,14,4.7
pauini,BR,-7.71,-66.98,78.62,64,35,1.16
tabou,CI,4.42,-7.35,74.34,78,100,7.36
waingapu,ID,-9.66,120.26,78.19,69,62,14
riberalta,BO,-10.98,-66.1,79.97,63,81,1.92
badvel,IN,14.75,79.05,76.48,85,100,8.28
maghama,NA,NA,NA,NA,NA,NA,NA
sladkovo,RU,55.53,70.34,66.94,75,0,3.89
prieska,ZA,-29.66,22.75,38.08,62,0,4.79
